DATE (MM/DD/YYYY),MST,AOD [400nm],AOD [500nm],AOD [675nm],AOD [870nm],AOD [1020nm],SSA [675nm],Asymmetry [675nm]
1/1/2020,15:00,0.0232,0.0205,0.0140,0.0082,0.0055,0.9920,0.6550
1/2/2020,09:30,0.0441,0.0389,0.0290,0.0176,0.0187,0.9947,0.6869
1/2/2020,09:40,0.0379,0.0317,0.0220,0.0091,0.0110,0.9883,0.6553
1/2/2020,10:30,0.0405,0.0332,0.0230,0.0105,0.0071,0.9964,0.6515
1/2/2020,12:50,0.0527,0.0411,0.0287,0.0145,0.0111,1.0000,0.6401
1/2/2020,13:10,0.0456,0.0364,0.0263,0.0114,0.0098,0.9942,0.6116
1/2/2020,13:40,0.0528,0.0437,0.0316,0.0174,0.0153,0.9994,0.6596
1/2/2020,13:50,0.0530,0.0437,0.0307,0.0172,0.0160,0.9981,0.6537
1/2/2020,14:00,0.0637,0.0526,0.0422,0.0292,0.0247,0.9998,0.6728
1/2/2020,15:30,0.0434,0.0379,0.0255,0.0151,0.0143,0.9927,0.6657
1/2/2020,15:40,0.0368,0.0345,0.0232,0.0138,0.0132,0.9985,0.6709
1/3/2020,08:20,0.0163,0.0180,0.0129,0.0075,0.0113,1.0000,0.6705
1/3/2020,08:30,0.0203,0.0194,0.0124,0.0063,0.0109,1.0000,0.6546
1/3/2020,11:30,0.0414,0.0360,0.0336,0.0260,0.0282,0.9181,0.7462
1/5/2020,11:50,0.0382,0.0246,0.0177,0.0098,0.0105,1.0000,0.6048
1/5/2020,14:50,0.0380,0.0268,0.0172,0.0117,0.0136,0.9933,0.6284
1/5/2020,15:00,0.0347,0.0243,0.0145,0.0103,0.0120,0.9954,0.5994
1/5/2020,15:10,0.0352,0.0248,0.0158,0.0100,0.0127,0.9937,0.6210
1/5/2020,15:30,0.0352,0.0265,0.0175,0.0130,0.0154,0.9867,0.6474
1/5/2020,15:40,0.0321,0.0245,0.0145,0.0116,0.0138,0.9908,0.6762
1/6/2020,09:40,0.0472,0.0389,0.0284,0.0152,0.0199,0.9927,0.6658
1/6/2020,10:00,0.0475,0.0397,0.0301,0.0143,0.0196,0.9922,0.6501
1/6/2020,10:20,0.0485,0.0376,0.0279,0.0138,0.0166,0.9931,0.6403
1/6/2020,10:30,0.0487,0.0383,0.0293,0.0138,0.0170,0.8209,0.6311
1/6/2020,10:40,0.0490,0.0397,0.0295,0.0133,0.0185,0.9898,0.6530
1/6/2020,10:50,0.0527,0.0428,0.0314,0.0154,0.0186,0.9919,0.6275
1/6/2020,13:20,0.0424,0.0326,0.0236,0.0097,0.0139,0.9970,0.6391
1/6/2020,15:30,0.0359,0.0296,0.0192,0.0113,0.0118,0.9923,0.6572
1/6/2020,15:50,0.0272,0.0247,0.0161,0.0103,0.0105,0.9981,0.6504
1/6/2020,16:00,0.0189,0.0203,0.0138,0.0100,0.0104,0.9992,0.7082
1/7/2020,08:20,0.0184,0.0190,0.0131,0.0095,0.0113,0.9978,0.7129
1/7/2020,08:30,0.0200,0.0191,0.0133,0.0091,0.0104,0.9963,0.6989
1/7/2020,08:40,0.0240,0.0210,0.0139,0.0085,0.0100,0.9985,0.6733
1/7/2020,15:30,0.0346,0.0265,0.0177,0.0142,0.0106,0.9954,0.5827
1/7/2020,15:40,0.0331,0.0256,0.0169,0.0142,0.0109,1.0000,0.6585
1/7/2020,15:50,0.0295,0.0242,0.0160,0.0144,0.0116,0.9796,0.6978
1/7/2020,16:00,0.0231,0.0211,0.0141,0.0140,0.0119,0.9958,0.7078
1/7/2020,16:10,0.0133,0.0161,0.0111,0.0130,0.0112,0.9999,0.7288
1/8/2020,10:50,0.0289,0.0200,0.0145,0.0077,0.0000,0.9962,0.6129
1/9/2020,08:20,0.0335,0.0324,0.0223,0.0136,0.0167,0.9997,0.6650
1/9/2020,08:30,0.0384,0.0340,0.0236,0.0136,0.0163,0.9954,0.6586
1/9/2020,08:40,0.0422,0.0356,0.0241,0.0133,0.0161,0.9953,0.6505
1/9/2020,09:00,0.0428,0.0361,0.0247,0.0138,0.0160,0.9956,0.6613
